title,desc,year,genre,certificate,runtime,rating,votes
Sing 2,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,2021,"Animation, Adventure, Comedy",U,110 min,7.4,"70,308"
Bluey,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,2018– ,"Animation, Family",U,7 min,9.6,"11,396"
Bob's Burgers,Bob Belcher runs his dream restaurant with his wife and three children as their last hope of holding the family together.,2011– ,"Animation, Comedy",U,22 min,8.2,"82,594"
Bleach: Sennen Kessen-hen,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.",2022– ,"Animation, Action, Adventure",UA 16+,24 min,9.2,"14,429"
"Love, Death & Robots","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",2019– ,"Animation, Short, Action",18,15 min,8.4,"171,194"
Avatar: The Last Airbender,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",2005–2008,"Animation, Action, Adventure",U,23 min,9.3,"317,686"
BoJack Horseman,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",2014–2020,"Animation, Comedy, Drama",18+,25 min,8.8,"159,672"
Spider-Man: Across the Spider-Verse,"Miles Morales returns for the next chapter of the Oscar®-winning Spider-Verse saga, an epic adventure that will transport Brooklyn's full-time, friendly neighborhood Spider-Man across the ...                See full summary »",2023,"Animation, Action, Adventure",,,,
Kimetsu no Yaiba,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",2019– ,"Animation, Action, Adventure",16,24 min,8.7,"104,952"
"Lyle, Lyle, Crocodile",Feature film based on the children's book about a crocodile that lives in New York City.,2022,"Animation, Adventure, Comedy",U,106 min,6.1,"6,049"
Arcane: League of Legends,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.",2021– ,"Animation, Action, Adventure",16,41 min,9.0,"209,650"
Sing,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",2016,"Animation, Comedy, Family",U,108 min,7.1,"173,032"
Star Wars: The Clone Wars,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,2008–2020,"Animation, Action, Adventure",PG,23 min,8.4,"99,186"
The Amazing Maurice,"This story follows Maurice, a goofy streetwise cat, who has the perfect money-making scam. He finds a dumb-looking kid who plays a pipe and has his very own horde of rats, who are strangely literate.",2022,"Animation, Adventure, Comedy",PG,93 min,6.3,"1,210"
Monster,A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.,2004–2005,"Animation, Crime, Drama",,24 min,8.7,"31,956"
Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",2018,"Animation, Action, Adventure",U,117 min,8.4,"532,560"
Enchanted,"A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.",2007,"Animation, Adventure, Comedy",U,107 min,7.1,"207,158"
Archer,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,2009– ,"Animation, Action, Comedy",18,22 min,8.6,"156,326"
Futurama,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",1999–2023,"Animation, Adventure, Comedy",U,22 min,8.5,"239,878"
DC League of Super-Pets,"Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped.",2022,"Animation, Action, Adventure",7,105 min,7.2,"64,180"
Invincible,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,2021– ,"Animation, Action, Adventure",18,50 min,8.7,"139,573"
Trolls,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",2016,"Animation, Adventure, Comedy",U,92 min,6.4,"83,442"
Cyberpunk: Edgerunners,"A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk.",2022,"Animation, Action, Adventure",A,24 min,8.3,"48,479"
The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1994,"Animation, Adventure, Drama",U,88 min,8.5,"1,060,542"
Sen to Chihiro no kamikakushi,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",2001,"Animation, Adventure, Family",U,125 min,8.6,"765,949"
Big Mouth,Teenage friends find their lives upended by the wonders and horrors of puberty.,2017– ,"Animation, Comedy, Romance",18+,30 min,7.9,"81,088"
The Legend of Vox Machina,"After saving the realm from evil and destruction at the hands of the most terrifying power couple in Exandria, Vox Machina is faced with saving the world once again-this time, from a sinister group of dragons known as the Chroma Conclave.",2022– ,"Animation, Action, Adventure",A,30 min,8.4,"25,448"
Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",I 2017,"Animation, Adventure, Comedy",U,105 min,8.4,"511,468"
Bleach: Burîchi,"High school student Ichigo Kurosaki, who has the ability to see ghosts, gains soul reaper powers from Rukia Kuchiki and sets out to save the world from ""Hollows"".",2004–2012,"Animation, Action, Adventure",16,24 min,8.2,"57,694"
Lightyear,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.",2022,"Animation, Action, Adventure",U,100 min,6.0,"106,041"
Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",I 2015,"Animation, Adventure, Comedy",U,95 min,8.2,"716,732"
SPY×FAMILY,"A spy on an undercover mission gets married and adopts a child as part of his cover. His wife and daughter have secrets of their own, and all three must strive to keep together.",2022– ,"Animation, Action, Comedy",Not Rated,24 min,8.5,"25,075"
JoJo no Kimyô na Bôken,"The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives.",2012– ,"Animation, Action, Adventure",18,24 min,8.5,"25,370"
Inside Job,"For employees of the Deep State, conspiracies aren't just theories, they're fact. And keeping them a secret is a full-time job.",2021– ,"Animation, Comedy, Fantasy",18,30 min,7.7,"21,720"
American Dad!,"The random escapades of Stan Smith, a conservative C.I.A. Agent dealing with family life, and keeping America safe, all in the most absurd way possible.",2005– ,"Animation, Comedy",U,22 min,7.4,"129,182"
Cars,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town, and learns that winning isn't everything in life.",2006,"Animation, Adventure, Comedy",U,117 min,7.2,"426,011"
Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,2007,"Animation, Adventure, Comedy",U,111 min,8.1,"740,947"
Vinland Saga,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,2019– ,"Animation, Action, Adventure",18,24 min,8.8,"40,537"
Turning Red,A 13-year-old girl named Meilin turns into a giant red panda whenever she gets too excited.,2022,"Animation, Adventure, Comedy",UA 7+,100 min,7.0,"123,089"
Frozen,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",I 2013,"Animation, Adventure, Comedy",U,102 min,7.4,"628,651"
Shrek,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",2001,"Animation, Adventure, Comedy",U,90 min,7.9,"681,410"
Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",I 2016,"Animation, Adventure, Comedy",U,107 min,7.6,"339,595"
Chicago Party Aunt,"Follows Diane Dunbrowski who is always the life of the party, and also known as the ""Chicago Party Aunt"".",2021– ,"Animation, Comedy",18,30 min,5.5,"1,832"
SpongeBob SquarePants,"The misadventures of a talking sea sponge who works at a fast food restaurant, attends a boating school, and lives in an underwater pineapple.",1999– ,"Animation, Comedy, Family",U,23 min,8.2,"100,259"
The Lion King,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",2019,"Animation, Adventure, Drama",U,118 min,6.8,"247,360"
Naruto: Shippûden,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",2007–2017,"Animation, Action, Adventure",7,24 min,8.7,"128,789"
Klaus,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",2019,"Animation, Adventure, Comedy",7,96 min,8.2,"159,520"
Hunter x Hunter,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.",2011–2014,"Animation, Action, Adventure",16,24 min,9.0,"102,420"
Minions: The Rise of Gru,The untold story of one twelve-year-old's dream to become the world's greatest supervillain.,2022,"Animation, Adventure, Comedy",U,87 min,6.6,"65,244"
Teenage Mutant Ninja Turtles: Mutant Mayhem,CG-animated feature film based on the superhero team,2023,"Animation, Action, Adventure",,,,
Marcel the Shell with Shoes On,Feature adaptation of the animated short film interviewing a mollusk named Marcel.,2021,"Animation, Comedy, Drama",PG,90 min,7.8,"9,026"
The Polar Express,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",2004,"Animation, Adventure, Comedy",U,100 min,6.6,"218,141"
Luck,The curtain is pulled back on the millennia-old battle between the organizations of good luck and bad luck that secretly affects everyday lives.,I 2022,"Animation, Adventure, Comedy",U,105 min,6.4,"19,653"
Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",2016,"Animation, Adventure, Comedy",U,108 min,8.0,"502,574"
The Grinch,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,2018,"Animation, Comedy, Family",U,85 min,6.4,"76,212"
Mob Psycho 100,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",2016–2022,"Animation, Action, Comedy",16,24 min,8.6,"33,691"
Death Note: Desu nôto,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,2006–2007,"Animation, Crime, Drama",UA,23 min,9.0,"327,085"
Miraculous: Tales of Ladybug & Cat Noir,"Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.",2015– ,"Animation, Action, Adventure",7,20 min,7.6,"12,025"
Naruto,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.",2002–2007,"Animation, Action, Adventure",16,24 min,8.4,"104,328"
Jujutsu Kaisen,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,2020– ,"Animation, Action, Adventure",16,24 min,8.6,"63,630"
The Incredibles,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",2004,"Animation, Action, Adventure",U,115 min,8.0,"741,243"
Blue Lock,High school soccer players from across Japan gather for a controversial project designed to create the best and most egoistic striker in the world.,2022– ,"Animation, Action, Sport",,22 min,8.4,"3,661"
King of the Hill,"A straight-laced propane salesman in Arlen, Texas tries to deal with the wacky antics of his family and friends, while also trying to keep his son in line.",1997–2010,"Animation, Comedy, Drama",,30 min,7.5,"53,804"
Adventure Time,"A twelve-year-old boy and his best friend, a wise twenty-eight-year-old dog with magical powers, go on a series of surreal adventures in a remote future.",2010–2018,"Animation, Action, Adventure",UA,11 min,8.6,"96,721"
The Owl House,"Accidentally sent to the world of the Boiling Isles before a trip to summer camp, a teenage human named Luz longs to become a witch, with the rebellious Eda and pint-sized demon King at her aid.",2020–2023,"Animation, Action, Adventure",,22 min,8.4,"12,685"
Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,1995,"Animation, Adventure, Comedy",U,81 min,8.3,"996,318"
Kimi no Na wa.,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",2016,"Animation, Drama, Fantasy",U,106 min,8.4,"271,076"
Tangled,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",2010,"Animation, Adventure, Comedy",U,100 min,7.7,"457,399"
Star Wars: Rebels,A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.,2014–2018,"Animation, Action, Adventure",UA 7+,22 min,8.0,"45,256"
Hauru no ugoku shiro,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",2004,"Animation, Adventure, Family",U,119 min,8.2,"398,200"
Fantastic Mr. Fox,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,2009,"Animation, Adventure, Comedy",U,87 min,7.9,"235,733"
Gravity Falls,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",2012–2016,"Animation, Action, Adventure",PG,23 min,8.9,"110,462"
Beauty and the Beast,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,1991,"Animation, Family, Fantasy",U,84 min,8.0,"457,434"
Raya and the Last Dragon,"In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon.",2021,"Animation, Action, Adventure",U,107 min,7.3,"153,548"
Hagane no renkinjutsushi,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,2009–2010,"Animation, Action, Adventure",UA,24 min,9.1,"170,030"
Harley Quinn,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City.",2019– ,"Animation, Action, Adventure",,23 min,8.5,"30,562"
Hercules,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,1997,"Animation, Adventure, Comedy",U,93 min,7.3,"234,565"
Mad God,"The Assassin travels through a nightmare underworld of tortured souls, ruined cities and wretched monstrosities forged from the primordial horrors of the unconscious mind of Phil Tippett, the world's preeminent stop-motion animator.",2021,"Animation, Fantasy, Horror",,83 min,6.8,"9,381"
WALL·E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",2008,"Animation, Adventure, Family",U,98 min,8.4,"1,118,407"
Batman: The Animated Series,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,1992–1995,"Animation, Action, Adventure",,23 min,9.0,"105,198"
Kung Fu Panda,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",2008,"Animation, Action, Adventure",U,92 min,7.6,"474,156"
Black Clover,"Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus.",2017–2021,"Animation, Action, Adventure",13,24 min,8.3,"24,417"
Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",2003,"Animation, Adventure, Comedy",U,100 min,8.2,"1,046,425"
Sausage Party,A sausage strives to discover the truth about his existence.,2016,"Animation, Adventure, Comedy",A,89 min,6.1,"196,999"
The Sea Beast,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot.",2022,"Animation, Adventure, Comedy",UA 7+,115 min,7.1,"42,144"
Tales of the Jedi,It showcases animated shorts that feature Jedi from the prequel era.,2022– ,"Animation, Short, Action",UA 7+,15 min,8.3,"21,454"
Shrek 2,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",2004,"Animation, Adventure, Comedy",U,93 min,7.3,"467,469"
The Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",1993,"Animation, Family, Fantasy",U,76 min,7.9,"345,963"
Star Trek: Prodigy,A group of enslaved teenagers steal a derelict Starfleet vessel to escape and explore the galaxy.,2021– ,"Animation, Action, Adventure",,24 min,7.2,"3,611"
The Addams Family,The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.,2019,"Animation, Comedy, Family",U,86 min,5.8,"41,390"
Paradise PD,"Animated series about bad cops. Not bad as in corrupt, bad as in under-performing. They aren't first responders, they are the worst responders.",2018–2022,"Animation, Action, Comedy",18,28 min,6.8,"20,040"
Aladdin,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,1992,"Animation, Adventure, Comedy",U,90 min,8.0,"423,485"
Poketto monsutâ,"Ash Ketchum, his yellow pet Pikachu, and his human friends explore a world of powerful creatures. On Hulu Japan in the Japanese broadcast version. New card set 'Pokémon: Silver Tempest' available now.",1997– ,"Animation, Action, Adventure",U,24 min,7.5,"43,880"
Mummies,"It follows three mummies as they end up in present-day London and embark on a journey in search of an old ring belonging to the Royal Family, stolen by the ambitious archaeologist Lord Carnaby.",2023,"Animation, Comedy, Family",PG,88 min,8.7,29
Up,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",2009,"Animation, Adventure, Comedy",U,96 min,8.3,"1,046,666"
"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",2001,"Animation, Adventure, Comedy",U,92 min,8.1,"911,943"
The Legend of Korra,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,2012–2014,"Animation, Action, Adventure",,23 min,8.4,"123,233"
Kenpuu Denki Berserk,"Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.",1997–1998,"Animation, Action, Adventure",,23 min,8.7,"40,673"
Soul,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",2020,"Animation, Adventure, Comedy",U,100 min,8.0,"332,406"
Night at the Museum: Kahmunrah Rises Again,Nick Daley hesitates becoming a museum nightwatchman and Kahmunrah returns to conquer the world.,2022,"Animation, Adventure, Comedy",PG,77 min,5.0,"1,450"
Ice Age,"The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat.",2002,"Animation, Adventure, Comedy",U,81 min,7.5,"486,747"
The Witcher: Nightmare of the Wolf,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",2021,"Animation, Action, Adventure",18,83 min,7.2,"45,456"
Coraline,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",2009,"Animation, Drama, Family",U,100 min,7.7,"234,175"
Dragon Ball Z,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.",1989–1996,"Animation, Action, Adventure",U,24 min,8.8,"132,566"
How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",2010,"Animation, Action, Adventure",U,98 min,8.1,"743,236"
Entergalactic,"Jabari, a charming, streetwear-clad artist on the cusp of real success. After a chance run-in with his cool new photographer neighbor, Meadow, Jabari has to figure out whether he can make space for love in his life.",2022,"Animation, Comedy, Music",A,93 min,7.4,"9,821"
What If...?,"Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory.",2021– ,"Animation, Action, Adventure",7,32 min,7.4,"117,016"
Toy Story 4,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",2019,"Animation, Adventure, Comedy",U,100 min,7.7,"253,356"
Suzume no tojimari,A modern action adventure road story where a 17-year-old girl named Suzume helps a mysterious young man close doors from the outer side that are releasing disasters all over in Japan.,2022,"Animation, Action, Adventure",,122 min,7.9,693
Big Hero 6,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",2014,"Animation, Action, Adventure",U,102 min,7.8,"464,964"
Frozen II,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",2019,"Animation, Adventure, Comedy",U,103 min,6.8,"175,283"
Hotaru no haka,A young boy and his little sister struggle to survive in Japan during World War II.,1988,"Animation, Drama, War",U,89 min,8.5,"279,348"
Scrooge: A Christmas Carol,"A supernatural, time-travelling, musical adaptation of Charles Dickens's cult Christmas story.",2022,"Animation, Adventure, Comedy",UA 7+,96 min,6.2,"5,563"
Sonic Prime,Sonic in a high-octane adventure where the fate of a strange new multiverse rests in his gloved hands.,2022– ,"Animation, Action, Adventure",UA 7+,22 min,7.3,"1,006"
The Mitchells vs the Machines,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",2021,"Animation, Adventure, Comedy",13,114 min,7.6,"110,431"
Incredibles 2,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,2018,"Animation, Action, Adventure",UA,118 min,7.6,"300,019"
Mononoke-hime,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",1997,"Animation, Action, Adventure",U,134 min,8.4,"396,989"
Elemental,"Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together.",2023,"Animation, Adventure, Comedy",,93 min,,
Luca,"On the Italian Riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human.",2021,"Animation, Adventure, Comedy",PG,95 min,7.4,"165,220"
Atlantis: The Lost Empire,A young linguist named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.,2001,"Animation, Action, Adventure",U,95 min,6.9,"122,423"
Wendell & Wild,"Two scheming demon brothers, Wendell and Wild, enlist the aid of 13-year-old Kat Elliot to summon them to the Land of the Living.",2022,"Animation, Adventure, Comedy",UA 13+,105 min,6.4,"8,684"
Madagascar,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.",2005,"Animation, Adventure, Comedy",U,86 min,6.9,"408,090"
Castlevania,A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,2017–2021,"Animation, Action, Adventure",18,23 min,8.3,"66,948"
One Punch Man: Wanpanman,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",2015–2019,"Animation, Action, Comedy",7,24 min,8.7,"161,607"
The Little Mermaid,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,1989,"Animation, Adventure, Comedy",U,83 min,7.6,"266,320"
Treasure Planet,"In this science fiction rendering of the classic novel ""Treasure Island"", Jim Hawkins (Joseph Gordon-Levitt) is a rebellious teen seen by the world as an aimless slacker. After he receives ...                See full summary »",2002,"Animation, Adventure, Family",PG,95 min,7.2,"121,060"
A Christmas Carol,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",2009,"Animation, Adventure, Comedy",U,96 min,6.8,"120,566"
